"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","文山區","興得里",1022,1935,1976939,705,383,1321,1112.28,108.87
"臺北市","文山區","興豐里",1277,1669,2131155,790,439,1581,1670.89,130.85
"臺北市","文山區","興旺里",1016,2732,2775909,749,438,1306,1022.37,100.62
"臺北市","文山區","興光里",1152,1140,1313486,730,409,1387,1461.86,126.88
"臺北市","文山區","興安里",1273,2248,2861241,807,422,1565,1724.85,135.52
"臺北市","文山區","興昌里",1397,2413,3370413,901,466,1714,1868.46,133.77
"臺北市","文山區","興泰里",1112,1354,1506029,758,417,1354,1267.63,113.97
"臺北市","文山區","興業里",1091,1934,2109120,768,416,1383,1379.51,126.5
"臺北市","文山區","景東里",1110,2317,2572124,811,435,1435,1096.57,98.78
"臺北市","文山區","景華里",1105,1912,2112355,742,406,1394,1378.94,124.82
"臺北市","文山區","興家里",1054,2454,2586453,697,404,1273,2668.94,253.23
"臺北市","文山區","萬芳里",1098,2676,2937947,746,416,1404,1201.44,109.43
"臺北市","文山區","木柵里",1420,2832,4020092,812,416,1609,3107.24,218.89
"臺北市","文山區","博嘉里",1310,1775,2325636,749,419,1457,5784.82,441.52
"臺北市","文山區","樟腳里",1255,1866,2341058,753,420,1535,1571.25,125.24
"臺北市","文山區","老泉里",779,184,143351,560,318,952,870.66,111.75
"臺北市","文山區","木新里",1001,2803,2805285,651,370,1194,2071.25,206.96
"臺北市","文山區","指南里",1174,1031,1209917,731,402,1488,1305.08,111.21
"臺北市","文山區","華興里",1379,2792,3850884,829,427,1633,2235.98,162.12
"臺北市","文山區","順興里",994,2353,2339712,662,383,1228,1391.19,139.91
"臺北市","文山區","萬興里",1516,2766,4193963,884,460,1874,2349.52,154.96
"臺北市","文山區","明興里",1069,2358,2519941,771,425,1382,1030.75,96.45
"臺北市","文山區","明義里",1014,905,917543,586,328,1203,1233.85,121.7
"臺北市","文山區","試院里",1196,2331,2787144,790,426,1433,3664.78,306.5
"臺北市","文山區","樟新里",1289,2077,2676458,815,451,1513,1891.03,146.75
"臺北市","文山區","樟林里",1046,2823,2954154,730,421,1326,1284.41,122.74
"臺北市","文山區","忠順里",1242,1285,1596355,816,430,1574,1493.57,120.23
"臺北市","文山區","萬美里",1477,2244,3313765,753,408,1607,4397.74,297.8
"臺北市","文山區","興邦里",1074,1430,1535555,767,421,1393,1144.32,106.57
"臺北市","文山區","樟樹里",1055,1414,1491081,706,410,1267,1688.04,160.08
"臺北市","文山區","政大里",1849,2080,3846425,1276,569,2296,2537.99,137.24
"臺北市","文山區","樟文里",1007,1851,1863353,698,389,1259,1018.94,101.22
"臺北市","南港區","南港里",914,1955,1786575,635,377,1142,897.09,98.17
"臺北市","南港區","三重里",1419,1840,2610361,825,430,1648,2467.39,173.92
"臺北市","南港區","新富里",864,1245,1075760,635,375,1058,829.93,96.05
"臺北市","南港區","中研里",1045,3037,3173238,700,408,1291,1212.82,116.08
"臺北市","南港區","鴻福里",1026,1577,1617609,689,387,1242,1278.57,124.65
"臺北市","南港區","東新里",922,2371,2185042,641,375,1162,945.42,102.59
"臺北市","南港區","西新里",829,1603,1329418,586,344,1022,864.76,104.27
"臺北市","南港區","新光里",1065,1288,1371959,614,358,1103,6777.1,636.24
"臺北市","南港區","百福里",842,1731,1456878,615,360,1040,942.15,111.94
"臺北市","南港區","玉成里",926,1612,1493211,671,385,1188,1045.83,112.9
"臺北市","南港區","成福里",927,2486,2305018,660,396,1176,979.42,105.63
"臺北市","南港區","中南里",773,1173,906148,571,352,973,728.67,94.33
"臺北市","南港區","舊庄里",808,2732,2208263,604,371,1020,743.57,91.99
"臺北市","南港區","九如里",885,1976,1747793,633,369,1140,833,94.18
"臺北市","南港區","東明里",1147,1767,2027458,751,406,1386,1312.57,114.4
"臺北市","南港區","合成里",1194,2335,2788350,685,384,1261,2445.13,204.76
"臺北市","南港區","聯成里",906,1746,1581622,653,381,1160,832.99,91.96
